CSD,BORO,GRADE LEVEL,PROGRAM TYPE,"CORE SUBJECT 
(MS CORE and 
09-12 ONLY)","CORE COURSE 
(MS CORE and 
09-12 ONLY)","SERVICE CATEGORY
(0K-08 ONLY)",NUMBER OF STUDENTS / SEATS FILLED,NUMBER OF SECTIONS,AVERAGE CLASS SIZE
1,M,MS Core,G&T,Math,Integrated Algebra,-,86,3,28.7
1,M,MS Core,G&T,Science,Living Environment,-,18,1,18
2,M,0K,GEN ED,-,-,-,2150,97,22.2
2,M,0K,CTT,-,-,-,677,30,22.6
2,M,0K,G&T,-,-,-,258,12,21.5
2,M,01,GEN ED,-,-,-,2043,85,24
2,M,01,CTT,-,-,-,657,28,23.5
2,M,01,G&T,-,-,-,284,10,28.4
2,M,02,GEN ED,-,-,-,1880,75,25.1
2,M,02,CTT,-,-,-,699,28,25
2,M,02,G&T,-,-,-,301,10,30.1
2,M,03,GEN ED,-,-,-,1776,72,24.7
2,M,03,CTT,-,-,-,663,26,25.5
2,M,03,G&T,-,-,-,298,10,29.8
2,M,04,GEN ED,-,-,-,1907,73,26.1
2,M,04,CTT,-,-,-,603,23,26.2
2,M,04,G&T,-,-,-,272,10,27.2
2,M,05,GEN ED,-,-,-,1736,66,26.3
2,M,05,CTT,-,-,-,598,23,26
2,M,05,G&T,-,-,-,203,8,25.4
2,M,06,GEN ED,-,-,-,1602,60,26.7
2,M,06,CTT,-,-,-,866,31,27.9
2,M,07,GEN ED,-,-,-,1538,55,28
2,M,07,CTT,-,-,-,769,27,28.5
2,M,08,GEN ED,-,-,-,1587,58,27.4
2,M,08,CTT,-,-,-,688,26,26.5
2,M,09-12,GEN ED,English,MS English Core,-,3235,125,25.9
2,M,09-12,GEN ED,English,English 9,-,5477,203,27
2,M,09-12,GEN ED,English,English 10,-,5495,203,27.1
2,M,09-12,GEN ED,English,English 11,-,5457,210,26
2,M,09-12,GEN ED,English,English 12,-,4899,193,25.4
2,M,09-12,GEN ED,English,Other English,-,6713,333,20.2
2,M,09-12,GEN ED,Math,Integrated Algebra,-,6441,261,24.7
2,M,09-12,GEN ED,Math,Geometry,-,6662,256,26
2,M,09-12,GEN ED,Math,Algebra 2/Trig,-,6760,247,27.4
2,M,09-12,GEN ED,Math,Other Math,-,7833,300,26.1
2,M,09-12,GEN ED,Science,Living Environment,-,7367,290,25.4
2,M,09-12,GEN ED,Science,Chemistry,-,5803,206,28.2
2,M,09-12,GEN ED,Science,Physics,-,2845,103,27.6
2,M,09-12,GEN ED,Science,Other Physical Sciences,-,1223,45,27.2
2,M,09-12,GEN ED,Science,Other Science,-,9760,379,25.8
2,M,09-12,GEN ED,Social Studies,Global History,-,12943,484,26.7
2,M,09-12,GEN ED,Social Studies,United States History Accelerated,-,7403,277,26.7
2,M,09-12,GEN ED,Social Studies,Participation in Government,-,4354,164,26.5
2,M,09-12,GEN ED,Social Studies,Economics,-,1884,64,29.4
2,M,09-12,GEN ED,Social Studies,Other Social Studies,-,2060,87,23.7
2,M,09-12,CTT,English,MS English Core,-,1365,48,28.4
2,M,09-12,CTT,English,English 9,-,2164,75,28.9
2,M,09-12,CTT,English,English 10,-,1993,71,28.1
2,M,09-12,CTT,English,English 11,-,1480,54,27.4
2,M,09-12,CTT,English,English 12,-,984,36,27.3
2,M,09-12,CTT,English,Other English,-,1969,91,21.6
2,M,09-12,CTT,Math,Integrated Algebra,-,4114,153,26.9
2,M,09-12,CTT,Math,Geometry,-,2327,85,27.4
2,M,09-12,CTT,Math,Algebra 2/Trig,-,830,32,25.9
2,M,09-12,CTT,Math,Other Math,-,646,23,28.1
2,M,09-12,CTT,Science,Living Environment,-,2765,101,27.4
2,M,09-12,CTT,Science,Chemistry,-,743,28,26.5
2,M,09-12,CTT,Science,Physics,-,200,7,28.6
2,M,09-12,CTT,Science,Other Physical Sciences,-,274,10,27.4
2,M,09-12,CTT,Science,Other Science,-,2743,98,28
2,M,09-12,CTT,Social Studies,Global History,-,4671,164,28.5
2,M,09-12,CTT,Social Studies,United States History Accelerated,-,1912,71,26.9
2,M,09-12,CTT,Social Studies,Participation in Government,-,974,35,27.8
2,M,09-12,CTT,Social Studies,Economics,-,168,6,28
2,M,09-12,CTT,Social Studies,Other Social Studies,-,521,20,26.1
2,M,09-12,SPEC ED,English,English 9,-,105,11,9.5
2,M,09-12,SPEC ED,English,English 10,-,87,9,9.7
2,M,09-12,SPEC ED,English,English 11,-,67,8,8.4
2,M,09-12,SPEC ED,English,English 12,-,38,5,7.6
2,M,09-12,SPEC ED,English,Other English,-,7,1,7
2,M,09-12,SPEC ED,Math,Integrated Algebra,-,182,18,10.1
2,M,09-12,SPEC ED,Math,Geometry,-,58,6,9.7
2,M,09-12,SPEC ED,Math,Algebra 2/Trig,-,9,1,9
2,M,09-12,SPEC ED,Math,Other Math,-,11,1,11
2,M,09-12,SPEC ED,Science,Living Environment,-,133,13,10.2
2,M,09-12,SPEC ED,Science,Chemistry,-,8,1,8
2,M,09-12,SPEC ED,Science,Other Science,-,92,9,10.2
2,M,09-12,SPEC ED,Social Studies,Global History,-,168,17,9.9
2,M,09-12,SPEC ED,Social Studies,United States History Accelerated,-,71,7,10.1
2,M,09-12,SPEC ED,Social Studies,Participation in Government,-,27,4,6.8
2,M,09-12,SPEC ED,Social Studies,Other Social Studies,-,21,3,7
2,M,0K-09,SPEC ED,-,-,12:1,106,11,9.6
2,M,0K-09,SPEC ED,-,-,12:1:1,165,18,9.2
2,M,MS Core,GEN ED,English,MS English Core,-,3124,111,28.1
2,M,MS Core,GEN ED,English,Other English,-,154,11,14
2,M,MS Core,GEN ED,Math,MS Math Core,-,4325,158,27.4
2,M,MS Core,GEN ED,Science,MS Science Core,-,4472,160,28
2,M,MS Core,GEN ED,Social Studies,MS Social Studies Core,-,3445,124,27.8
2,M,MS Core,CTT,English,MS English Core,-,1317,49,26.9
2,M,MS Core,CTT,English,Other English,-,10,1,10
2,M,MS Core,CTT,Math,MS Math Core,-,1868,67,27.9
2,M,MS Core,CTT,Science,MS Science Core,-,1901,68,28
2,M,MS Core,CTT,Social Studies,MS Social Studies Core,-,1340,49,27.3
2,M,MS Core,SPEC ED,English,MS English Core,-,79,8,9.9
2,M,MS Core,SPEC ED,English,Other English,-,19,2,9.5
2,M,MS Core,SPEC ED,Math,MS Math Core,-,88,9,9.8
2,M,MS Core,SPEC ED,Science,MS Science Core,-,96,10,9.6
2,M,MS Core,SPEC ED,Social Studies,MS Social Studies Core,-,94,9,10.4
2,M,MS Core,G&T,English,MS English Core,-,206,7,29.4
2,M,MS Core,G&T,Math,Integrated Algebra,-,534,18,29.7
2,M,MS Core,G&T,Science,MS Science Core,-,123,4,30.8
2,M,MS Core,G&T,Science,Living Environment,-,85,4,21.3
2,M,MS Core,G&T,Science,Other Science,-,279,10,27.9
2,M,MS Core,G&T,Social Studies,MS Social Studies Core,-,59,2,29.5
2,M,MS Core,G&T&ICT,English,MS English Core,-,56,2,28
2,M,MS Core,G&T&ICT,Math,MS Math Core,-,55,2,27.5
2,M,MS Core,G&T&ICT,Math,Integrated Algebra,-,57,2,28.5
2,M,MS Core,G&T&ICT,Science,MS Science Core,-,55,2,27.5
2,M,MS Core,G&T&ICT,Science,Other Science,-,30,1,30
2,M,MS Core,G&T&ICT,Social Studies,MS Social Studies Core,-,26,1,26
3,M,0K,GEN ED,-,-,-,1049,47,22.3
3,M,0K,CTT,-,-,-,299,15,19.9
3,M,0K,G&T,-,-,-,130,6,21.7
3,M,01,GEN ED,-,-,-,907,40,22.7
3,M,01,CTT,-,-,-,370,16,23.1
3,M,01,G&T,-,-,-,156,6,26
3,M,02,GEN ED,-,-,-,762,32,23.8
3,M,02,CTT,-,-,-,458,18,25.4
3,M,02,G&T,-,-,-,164,6,27.3
3,M,03,GEN ED,-,-,-,698,31,22.5
3,M,03,CTT,-,-,-,413,17,24.3
3,M,03,G&T,-,-,-,140,5,28
3,M,04,GEN ED,-,-,-,693,30,23.1
3,M,04,CTT,-,-,-,426,17,25.1
3,M,04,G&T,-,-,-,217,8,27.1
3,M,05,GEN ED,-,-,-,748,33,22.7
3,M,05,CTT,-,-,-,357,15,23.8
3,M,05,G&T,-,-,-,227,9,25.2
3,M,06,GEN ED,-,-,-,794,32,24.8
3,M,06,CTT,-,-,-,452,17,26.6
3,M,07,GEN ED,-,-,-,710,27,26.3
3,M,07,CTT,-,-,-,558,20,27.9
3,M,08,GEN ED,-,-,-,670,25,26.8
3,M,08,CTT,-,-,-,542,20,27.1
3,M,09-12,GEN ED,English,MS English Core,-,953,44,21.7
3,M,09-12,GEN ED,English,English 9,-,1534,54,28.4
3,M,09-12,GEN ED,English,English 10,-,1545,54,28.6
3,M,09-12,GEN ED,English,English 11,-,1523,51,29.9
3,M,09-12,GEN ED,English,English 12,-,1523,53,28.7
3,M,09-12,GEN ED,English,Other English,-,976,49,19.9
3,M,09-12,GEN ED,Math,Integrated Algebra,-,1230,50,24.6
3,M,09-12,GEN ED,Math,Geometry,-,1833,69,26.6
3,M,09-12,GEN ED,Math,Algebra 2/Trig,-,1793,64,28
3,M,09-12,GEN ED,Math,Other Math,-,1927,71,27.1
3,M,09-12,GEN ED,Science,Living Environment,-,1438,56,25.7
3,M,09-12,GEN ED,Science,Chemistry,-,1547,53,29.2
3,M,09-12,GEN ED,Science,Physics,-,999,34,29.4
3,M,09-12,GEN ED,Science,Other Physical Sciences,-,137,6,22.8
3,M,09-12,GEN ED,Science,Other Science,-,2707,100,27.1
3,M,09-12,GEN ED,Social Studies,Global History,-,3993,145,27.5
3,M,09-12,GEN ED,Social Studies,United States History Accelerated,-,1802,65,27.7
3,M,09-12,GEN ED,Social Studies,Participation in Government,-,1040,36,28.9
3,M,09-12,GEN ED,Social Studies,Economics,-,255,12,21.3
3,M,09-12,GEN ED,Social Studies,Other Social Studies,-,758,30,25.3
3,M,09-12,CTT,English,MS English Core,-,240,10,24
3,M,09-12,CTT,English,English 9,-,386,14,27.6
3,M,09-12,CTT,English,English 10,-,375,14,26.8
3,M,09-12,CTT,English,English 11,-,237,9,26.3
3,M,09-12,CTT,English,English 12,-,158,8,19.8
3,M,09-12,CTT,English,Other English,-,572,23,24.9
3,M,09-12,CTT,Math,Integrated Algebra,-,533,22,24.2
3,M,09-12,CTT,Math,Geometry,-,202,8,25.3
3,M,09-12,CTT,Math,Algebra 2/Trig,-,193,8,24.1
3,M,09-12,CTT,Math,Other Math,-,284,11,25.8
3,M,09-12,CTT,Science,Living Environment,-,554,21,26.4
3,M,09-12,CTT,Science,Chemistry,-,137,5,27.4
3,M,09-12,CTT,Science,Physics,-,26,1,26
3,M,09-12,CTT,Science,Other Physical Sciences,-,104,4,26
3,M,09-12,CTT,Science,Other Science,-,453,17,26.6
3,M,09-12,CTT,Social Studies,Global History,-,957,36,26.6
3,M,09-12,CTT,Social Studies,United States History Accelerated,-,191,7,27.3
3,M,09-12,CTT,Social Studies,Participation in Government,-,70,3,23.3
3,M,09-12,CTT,Social Studies,Other Social Studies,-,291,11,26.5
3,M,09-12,SPEC ED,English,MS English Core,-,18,2,9
3,M,09-12,SPEC ED,English,English 9,-,20,3,6.7
3,M,09-12,SPEC ED,English,English 10,-,27,3,9
3,M,09-12,SPEC ED,English,English 11,-,8,1,8
3,M,09-12,SPEC ED,English,English 12,-,7,1,7
3,M,09-12,SPEC ED,English,Other English,-,5,1,5
3,M,09-12,SPEC ED,Math,Integrated Algebra,-,37,4,9.3
3,M,09-12,SPEC ED,Math,Geometry,-,6,1,6
3,M,09-12,SPEC ED,Math,Other Math,-,22,2,11
3,M,09-12,SPEC ED,Science,Living Environment,-,45,4,11.3
3,M,09-12,SPEC ED,Science,Other Physical Sciences,-,5,1,5
3,M,09-12,SPEC ED,Social Studies,Global History,-,46,4,11.5
3,M,09-12,SPEC ED,Social Studies,United States History Accelerated,-,7,1,7
3,M,0K-09,SPEC ED,-,-,12:1,65,6,10.8
3,M,0K-09,SPEC ED,-,-,12:1:1,329,35,9.4
3,M,MS Core,GEN ED,English,MS English Core,-,2351,96,24.5
3,M,MS Core,GEN ED,Math,MS Math Core,-,2297,91,25.2
3,M,MS Core,GEN ED,Science,MS Science Core,-,2605,110,23.7
3,M,MS Core,GEN ED,Social Studies,MS Social Studies Core,-,2427,100,24.3
3,M,MS Core,CTT,English,MS English Core,-,983,41,24
3,M,MS Core,CTT,Math,MS Math Core,-,963,39,24.7
3,M,MS Core,CTT,Science,MS Science Core,-,758,31,24.5
3,M,MS Core,CTT,Social Studies,MS Social Studies Core,-,831,35,23.7
3,M,MS Core,SPEC ED,English,MS English Core,-,80,9,8.9
3,M,MS Core,SPEC ED,Math,MS Math Core,-,80,9,8.9
3,M,MS Core,SPEC ED,Science,MS Science Core,-,72,8,9
3,M,MS Core,SPEC ED,Social Studies,MS Social Studies Core,-,72,8,9
3,M,MS Core,G&T,English,MS English Core,-,130,4,32.5
3,M,MS Core,G&T,Math,Integrated Algebra,-,248,10,24.8
3,M,MS Core,G&T,Science,Living Environment,-,90,4,22.5
3,M,MS Core,G&T,Science,Other Science,-,130,4,32.5
3,M,MS Core,G&T,Social Studies,MS Social Studies Core,-,62,3,20.7
3,M,MS Core,G&T,Social Studies,Global History,-,130,4,32.5
3,M,MS Core,G&T&ICT,Math,Integrated Algebra,-,56,2,28
4,M,0K,GEN ED,-,-,-,467,24,19.5
4,M,0K,CTT,-,-,-,348,19,18.3
4,M,0K,G&T,-,-,-,63,3,21
4,M,01,GEN ED,-,-,-,478,23,20.8
4,M,01,CTT,-,-,-,404,18,22.4
4,M,01,G&T,-,-,-,69,3,23
4,M,02,GEN ED,-,-,-,451,20,22.6
4,M,02,CTT,-,-,-,439,21,20.9
4,M,02,G&T,-,-,-,72,3,24
4,M,03,GEN ED,-,-,-,487,23,21.2
4,M,03,CTT,-,-,-,411,19,21.6
4,M,03,G&T,-,-,-,75,3,25
4,M,04,GEN ED,-,-,-,367,16,22.9
4,M,04,CTT,-,-,-,425,18,23.6
4,M,04,G&T,-,-,-,88,3,29.3
4,M,05,GEN ED,-,-,-,341,15,22.7
4,M,05,CTT,-,-,-,483,21,23
4,M,05,G&T,-,-,-,60,2,30
4,M,06,GEN ED,-,-,-,445,18,24.7
4,M,06,CTT,-,-,-,541,23,23.5
4,M,07,GEN ED,-,-,-,393,16,24.6
4,M,07,CTT,-,-,-,577,21,27.5
4,M,08,GEN ED,-,-,-,529,22,24
4,M,08,CTT,-,-,-,440,17,25.9
4,M,09-12,GEN ED,English,MS English Core,-,139,8,17.4
4,M,09-12,GEN ED,English,English 9,-,523,29,18
4,M,09-12,GEN ED,English,English 10,-,668,24,27.8
4,M,09-12,GEN ED,English,English 11,-,582,24,24.3
4,M,09-12,GEN ED,English,English 12,-,601,24,25
4,M,09-12,GEN ED,English,Other English,-,345,18,19.2
4,M,09-12,GEN ED,Math,Integrated Algebra,-,598,23,26
4,M,09-12,GEN ED,Math,Geometry,-,915,34,26.9
4,M,09-12,GEN ED,Math,Algebra 2/Trig,-,714,26,27.5
4,M,09-12,GEN ED,Math,Other Math,-,1173,44,26.7
4,M,09-12,GEN ED,Science,Living Environment,-,679,28,24.3
4,M,09-12,GEN ED,Science,Chemistry,-,705,25,28.2
4,M,09-12,GEN ED,Science,Physics,-,486,17,28.6
4,M,09-12,GEN ED,Science,Other Physical Sciences,-,69,4,17.3
4,M,09-12,GEN ED,Science,Other Science,-,1061,44,24.1
4,M,09-12,GEN ED,Social Studies,Global History,-,1405,51,27.5
4,M,09-12,GEN ED,Social Studies,United States History Accelerated,-,625,24,26
4,M,09-12,GEN ED,Social Studies,Participation in Government,-,561,20,28.1
4,M,09-12,GEN ED,Social Studies,Economics,-,84,3,28
4,M,09-12,GEN ED,Social Studies,Other Social Studies,-,164,6,27.3
4,M,09-12,CTT,English,MS English Core,-,50,3,16.7
4,M,09-12,CTT,English,English 9,-,309,11,28.1
4,M,09-12,CTT,English,English 10,-,273,9,30.3
4,M,09-12,CTT,English,English 11,-,234,8,29.3
4,M,09-12,CTT,English,English 12,-,156,6,26
4,M,09-12,CTT,English,Other English,-,103,4,25.8
4,M,09-12,CTT,Math,Integrated Algebra,-,486,18,27
4,M,09-12,CTT,Math,Geometry,-,262,10,26.2
4,M,09-12,CTT,Math,Algebra 2/Trig,-,213,8,26.6
4,M,09-12,CTT,Math,Other Math,-,161,5,32.2
4,M,09-12,CTT,Science,Living Environment,-,291,11,26.5
4,M,09-12,CTT,Science,Chemistry,-,212,7,30.3
4,M,09-12,CTT,Science,Other Science,-,131,5,26.2
4,M,09-12,CTT,Social Studies,Global History,-,657,23,28.6
4,M,09-12,CTT,Social Studies,United States History Accelerated,-,238,9,26.4
4,M,09-12,CTT,Social Studies,Participation in Government,-,146,5,29.2
4,M,09-12,CTT,Social Studies,Economics,-,61,2,30.5
4,M,09-12,CTT,Social Studies,Other Social Studies,-,138,5,27.6
4,M,09-12,SPEC ED,English,MS English Core,-,20,2,10
4,M,09-12,SPEC ED,Math,Integrated Algebra,-,6,1,6
4,M,09-12,SPEC ED,Math,Other Math,-,14,1,14
4,M,09-12,SPEC ED,Science,Other Science,-,20,2,10
4,M,09-12,SPEC ED,Social Studies,United States History Accelerated,-,7,1,7
4,M,09-12,SPEC ED,Social Studies,Other Social Studies,-,14,1,14
4,M,0K-09,SPEC ED,-,-,12:1,58,5,11.6
4,M,0K-09,SPEC ED,-,-,12:1:1,545,51,10.7
4,M,0K-09,SPEC ED,-,-,6:1:1,6,1,6
4,M,MS Core,GEN ED,English,MS English Core,-,1296,53,24.5
4,M,MS Core,GEN ED,Math,MS Math Core,-,1197,49,24.4
4,M,MS Core,GEN ED,Science,MS Science Core,-,1645,66,24.9
4,M,MS Core,GEN ED,Social Studies,MS Social Studies Core,-,1446,57,25.4
4,M,MS Core,CTT,English,MS English Core,-,1257,48,26.2
4,M,MS Core,CTT,Math,MS Math Core,-,1461,56,26.1
4,M,MS Core,CTT,Science,MS Science Core,-,1116,44,25.4
4,M,MS Core,CTT,Social Studies,MS Social Studies Core,-,1042,41,25.4
4,M,MS Core,SPEC ED,English,MS English Core,-,151,19,7.9
4,M,MS Core,SPEC ED,Math,MS Math Core,-,151,19,7.9
4,M,MS Core,SPEC ED,Science,MS Science Core,-,151,19,7.9
4,M,MS Core,SPEC ED,Social Studies,MS Social Studies Core,-,127,16,7.9
4,M,MS Core,G&T,English,MS English Core,-,26,1,26
4,M,MS Core,G&T,Math,Integrated Algebra,-,197,9,21.9
4,M,MS Core,G&T,Science,Living Environment,-,65,3,21.7
4,M,MS Core,G&T,Science,Other Science,-,48,2,24
4,M,MS Core,G&T,Social Studies,United States History Accelerated,-,95,4,23.8
5,M,0K,GEN ED,-,-,-,640,31,20.6
5,M,0K,CTT,-,-,-,124,6,20.7
5,M,01,GEN ED,-,-,-,638,29,22
5,M,01,CTT,-,-,-,131,6,21.8
5,M,02,GEN ED,-,-,-,487,23,21.2
5,M,02,CTT,-,-,-,276,13,21.2
5,M,03,GEN ED,-,-,-,518,23,22.5
5,M,03,CTT,-,-,-,243,11,22.1
5,M,04,GEN ED,-,-,-,463,21,22
5,M,04,CTT,-,-,-,269,12,22.4
5,M,04,G&T,-,-,-,16,1,16
5,M,05,GEN ED,-,-,-,434,20,21.7
5,M,05,CTT,-,-,-,231,11,21
5,M,05,G&T,-,-,-,15,1,15
5,M,06,GEN ED,-,-,-,517,23,22.5
5,M,06,CTT,-,-,-,174,9,19.3
5,M,07,GEN ED,-,-,-,545,23,23.7
5,M,07,CTT,-,-,-,218,11,19.8
5,M,08,GEN ED,-,-,-,554,20,27.7
5,M,08,CTT,-,-,-,291,12,24.3
5,M,09-12,GEN ED,English,MS English Core,-,105,8,13.1
5,M,09-12,GEN ED,English,English 9,-,696,30,23.2
5,M,09-12,GEN ED,English,English 10,-,778,28,27.8
5,M,09-12,GEN ED,English,English 11,-,674,25,27
5,M,09-12,GEN ED,English,English 12,-,551,22,25
5,M,09-12,GEN ED,English,Other English,-,835,39,21.4
5,M,09-12,GEN ED,Math,Integrated Algebra,-,700,33,21.2
5,M,09-12,GEN ED,Math,Geometry,-,764,31,24.6
5,M,09-12,GEN ED,Math,Algebra 2/Trig,-,788,33,23.9
5,M,09-12,GEN ED,Math,Other Math,-,1080,45,24
5,M,09-12,GEN ED,Science,Living Environment,-,786,33,23.8
5,M,09-12,GEN ED,Science,Chemistry,-,668,26,25.7
5,M,09-12,GEN ED,Science,Physics,-,306,14,21.9
5,M,09-12,GEN ED,Science,Other Physical Sciences,-,218,8,27.3
5,M,09-12,GEN ED,Science,Other Science,-,1235,54,22.9
5,M,09-12,GEN ED,Social Studies,Global History,-,1710,66,25.9
5,M,09-12,GEN ED,Social Studies,United States History Accelerated,-,727,30,24.2
5,M,09-12,GEN ED,Social Studies,Participation in Government,-,755,30,25.2
5,M,09-12,GEN ED,Social Studies,Economics,-,146,7,20.9
5,M,09-12,GEN ED,Social Studies,Other Social Studies,-,182,8,22.8
5,M,09-12,CTT,English,MS English Core,-,14,1,14
5,M,09-12,CTT,English,English 9,-,264,10,26.4
5,M,09-12,CTT,English,English 10,-,253,10,25.3
5,M,09-12,CTT,English,English 11,-,142,5,28.4
5,M,09-12,CTT,English,English 12,-,139,6,23.2
5,M,09-12,CTT,English,Other English,-,249,10,24.9
5,M,09-12,CTT,Math,Integrated Algebra,-,519,21,24.7
5,M,09-12,CTT,Math,Algebra 2/Trig,-,158,6,26.3
5,M,09-12,CTT,Math,Other Math,-,187,8,23.4
5,M,09-12,CTT,Science,Living Environment,-,244,9,27.1
5,M,09-12,CTT,Science,Chemistry,-,12,1,12
5,M,09-12,CTT,Science,Other Physical Sciences,-,27,1,27
5,M,09-12,CTT,Science,Other Science,-,379,14,27.1
